Nasa;Productnaam;Afdeling;Subafdeling;Actief;Gewicht;Kans14
842195;ah bio halfv melk;Zuivel;Zuivel;Ja;196;14
647871;arla skyr naturel;Zuivel;Zuivel;Ja;196;14
804258;camp halfvolle melk;Zuivel;Zuivel;Ja;196;14
570675;dzh halfvolle melk;Zuivel;Zuivel;Ja;196;14
809358;dzh yogh gr 10%;Zuivel;Zuivel;Ja;196;14
575360;ah halfv melk calci;Zuivel;Zuivel;Ja;169;13
27506;ah halfvolle melk;Zuivel;Zuivel;Ja;169;13
722517;ah slagroom;Zuivel;Zuivel;Ja;169;13
748064;arla lac gr st yogh;Zuivel;Zuivel;Ja;169;13
600587;dzh volle melk;Zuivel;Zuivel;Ja;169;13
853187;dzh yogh gr 2%;Zuivel;Zuivel;Ja;169;13
106375;ah bio halfv melk;Zuivel;Zuivel;Ja;144;12
28392;ah bio hv yoghurt;Zuivel;Zuivel;Ja;144;12
106377;ah bio volle yogh;Zuivel;Zuivel;Ja;144;12
582138;ah bio yogh gr 10%;Zuivel;Zuivel;Ja;144;12
727636;alm choc slag;Zuivel;Zuivel;Ja;144;12
815635;camp yoghurt;Zuivel;Zuivel;Ja;144;12
11956;dzh vanille vla;Zuivel;Zuivel;Ja;144;12
809402;mu breaker aardbei;Zuivel;Zuivel;Ja;144;12
106374;ah bio volle melk;Zuivel;Zuivel;Ja;121;11
27504;ah halfv van yogh;Zuivel;Zuivel;Ja;121;11
531306;ah magere kwark;Zuivel;Zuivel;Ja;121;11
540176;ah vanille vla;Zuivel;Zuivel;Ja;121;11
590142;ah volle kwark;Zuivel;Zuivel;Ja;121;11
11944;ah volle melk;Zuivel;Zuivel;Ja;121;11
27507;ah volle melk;Zuivel;Zuivel;Ja;121;11
831576;camp halfvolle yoghurt;Zuivel;Zuivel;Ja;121;11
721113;camp yogh griek nat;Zuivel;Zuivel;Ja;121;11
16916;dodoni gr yogh 5%;Zuivel;Zuivel;Ja;121;11
643482;dzh magere kwark;Zuivel;Zuivel;Ja;121;11
