Nasa;Productnaam;Afdeling;Subafdeling;Actief;Gewicht;Kans14
67842;ah basilicum;Panklaar;Panklaar;Ja;196;14
831597;ah bieslook;Panklaar;Panklaar;Ja;196;14
730437;ah bio rucola;Panklaar;Panklaar;Ja;196;14
828276;ah bio tauge;Panklaar;Panklaar;Ja;196;14
622963;ah eikenbladsla mel groot;Panklaar;Panklaar;Ja;196;14
558435;ah gesn kastanjechamp;Panklaar;Panklaar;Ja;196;14
811636;ah groene asperges;Panklaar;Panklaar;Ja;196;14
46987;ah ijsbergsla melange;Panklaar;Panklaar;Ja;196;14
47028;ah jong bladsla rucol kvp;Panklaar;Panklaar;Ja;196;14
576914;ah jonge bladsla rucola;Panklaar;Panklaar;Ja;196;14
633950;ah jonge bladsla veldsla;Panklaar;Panklaar;Ja;196;14
14346;ah koolmix;Panklaar;Panklaar;Ja;196;14
510567;ah peen julienne;Panklaar;Panklaar;Ja;196;14
809955;ah rauwk amsterdam ui;Panklaar;Panklaar;Ja;196;14
649011;ah rauwk komkommer;Panklaar;Panklaar;Ja;196;14
609630;ah rauwk radijs;Panklaar;Panklaar;Ja;196;14
781270;ah rbak mexic groente;Panklaar;Panklaar;Ja;196;14
555634;ah rucola;Panklaar;Panklaar;Ja;196;14
689621;ah slamelange rode biet;Panklaar;Panklaar;Ja;196;14
602895;ah bimi;Panklaar;Panklaar;Ja;169;13
689796;ah bio pittig kiemgroente;Panklaar;Panklaar;Ja;169;13
847352;ah bloemkoolroosjes;Panklaar;Panklaar;Ja;169;13
545342;ah botersla;Panklaar;Panklaar;Ja;169;13
845118;ah courgette spaghetti;Panklaar;Panklaar;Ja;169;13
67843;ah dille;Panklaar;Panklaar;Ja;169;13
738386;ah fijngesn ijsbergsla;Panklaar;Panklaar;Ja;169;13
563896;ah geschrapte wortelt;Panklaar;Panklaar;Ja;169;13
583659;ah ijsbergsla;Panklaar;Panklaar;Ja;169;13
47035;ah jon bladsla veld kvp;Panklaar;Panklaar;Ja;169;13
83750;ah kleine kastanjechamp;Panklaar;Panklaar;Ja;169;13
831600;ah koriander;Panklaar;Panklaar;Ja;169;13
831601;ah munt;Panklaar;Panklaar;Ja;169;13
554635;ah pastasaus tom mascarp;Panklaar;Panklaar;Ja;169;13
831603;ah platte peterselie;Panklaar;Panklaar;Ja;169;13
67854;ah platte peterselie gvp;Panklaar;Panklaar;Ja;169;13
502940;ah rbak provenc groente;Panklaar;Panklaar;Ja;169;13
847347;ah spitskool;Panklaar;Panklaar;Ja;169;13
